Point,Corner,mc_iteration,temperature,Pass/Fail,Vthn,Id
38,nom,38,27,,445e-3,
39,nom,39,27,,463.6e-3,
40,nom,40,27,,466.2e-3,
41,nom,41,27,,448.8e-3,
42,nom,42,27,,439.1e-3,
43,nom,43,27,,454.5e-3,
44,nom,44,27,,461.8e-3,
45,nom,45,27,,441.8e-3,
46,nom,46,27,,429.4e-3,
47,nom,47,27,,451.8e-3,
48,nom,48,27,,465.1e-3,
49,nom,49,27,,449.6e-3,
50,nom,50,27,,433.7e-3,

