Point,Corner,Vds,Vgs,temperature,Pass/Fail,gm_n,gm_p,ids_n,ids_p,rds_n,rds_p
5,C0_30,900e-3,0,-50,,660.4e-15,173.5e-6,15.61e-15,-48.22e-6,57.65e12,18.66e3
5,C0_31,900e-3,62.07e-3,-50,,9.114e-12,157.3e-6,215.6e-15,-37.95e-6,4.175e12,23.72e3
5,C0_32,900e-3,124.1e-3,-50,,125.3e-12,139.6e-6,2.969e-12,-28.73e-6,303.2e9,31.33e3
5,C0_33,900e-3,186.2e-3,-50,,1.697e-9,120.6e-6,40.48e-12,-20.65e-6,22.23e9,43.59e3
5,C0_34,900e-3,248.3e-3,-50,,21.62e-9,100.1e-6,530.5e-12,-13.79e-6,1.696e9,65.25e3
5,C0_35,900e-3,310.3e-3,-50,,224.1e-9,77.93e-6,6.045e-9,-8.26e-6,148.9e6,109e3
5,C0_36,900e-3,372.4e-3,-50,,1.505e-6,53.87e-6,49.44e-9,-4.159e-6,18.2e6,216.4e3
5,C0_37,900e-3,434.5e-3,-50,,6.767e-6,29.14e-6,271.9e-9,-1.59e-6,3.31e6,565.9e3
5,C0_38,900e-3,496.6e-3,-50,,22.56e-6,10.24e-6,1.109e-6,-421.8e-9,811.3e3,2.134e6
5,C0_39,900e-3,558.6e-3,-50,,51.33e-6,2.338e-6,3.351e-6,-80.68e-9,268.5e3,11.16e6
5,C0_40,900e-3,620.7e-3,-50,,84.47e-6,391.7e-9,7.567e-6,-11.12e-9,118.9e3,80.91e6
5,C0_41,900e-3,682.8e-3,-50,,115e-6,42.19e-9,13.78e-6,-1.033e-9,65.33e3,871.1e6
5,C0_42,900e-3,744.8e-3,-50,,141.6e-6,3.244e-9,21.76e-6,-75.1e-12,41.36e3,11.98e9
5,C0_43,900e-3,806.9e-3,-50,,164.6e-6,219.9e-12,31.28e-6,-5.011e-12,28.77e3,179.6e9
5,C0_44,900e-3,869e-3,-50,,184.2e-6,14.39e-12,42.11e-6,-326.7e-15,21.37e3,2.755e12
5,C0_45,900e-3,931e-3,-50,,200.9e-6,933.8e-15,54.07e-6,-21.17e-15,16.64e3,42.5e12
5,C0_46,900e-3,993.1e-3,-50,,214.9e-6,60.46e-15,66.98e-6,-1.371e-15,13.44e3,656.7e12
5,C0_47,900e-3,1.055,-50,,226.4e-6,3.912e-15,80.68e-6,-88.68e-18,11.16e3,10.15e15
5,C0_48,900e-3,1.117,-50,,235.6e-6,253.1e-18,95.02e-6,-5.737e-18,9.472e3,156.9e15
5,C0_49,900e-3,1.179,-50,,242.6e-6,16.37e-18,109.9e-6,-371.2e-21,8.192e3,2.425e18
5,C0_50,900e-3,1.241,-50,,247.8e-6,1.059e-18,125.1e-6,-24.02e-21,7.195e3,37.48e18
5,C0_51,900e-3,1.303,-50,,251.3e-6,68.54e-21,140.6e-6,-1.554e-21,6.402e3,579.3e18
5,C0_52,900e-3,1.366,-50,,253.2e-6,4.434e-21,156.2e-6,-100.5e-24,5.761e3,8.954e21
5,C0_53,900e-3,1.428,-50,,253.7e-6,286.9e-24,172e-6,-6.503e-24,5.234e3,138.4e21
5,C0_54,900e-3,1.49,-50,,252.9e-6,18.56e-24,187.7e-6,-420.7e-27,4.796e3,2.139e24
5,C0_55,900e-3,1.552,-50,,250.9e-6,1.201e-24,203.3e-6,-27.22e-27,4.427e3,33.06e24
5,C0_56,900e-3,1.614,-50,,247.6e-6,77.69e-27,218.8e-6,-1.761e-27,4.114e3,511.1e24
5,C0_57,900e-3,1.676,-50,,243.2e-6,5.026e-27,234e-6,-113.9e-30,3.846e3,7.899e27
5,C0_58,900e-3,1.738,-50,,237.5e-6,325.2e-30,248.9e-6,-7.371e-30,3.616e3,122.1e27
5,C0_59,900e-3,1.8,-50,,230.3e-6,21.04e-30,263.4e-6,-476.9e-33,3.417e3,1.887e30
5,C0_60,1.8,0,-50,,725.1e-15,298.9e-6,17.14e-15,-281.4e-6,105e12,6.398e3
5,C0_61,1.8,62.07e-3,-50,,10.01e-12,296.7e-6,236.7e-15,-262.9e-6,7.606e12,6.847e3
5,C0_62,1.8,124.1e-3,-50,,137.6e-12,293.9e-6,3.259e-12,-244.5e-6,552.3e9,7.361e3
5,C0_63,1.8,186.2e-3,-50,,1.861e-9,290.3e-6,44.42e-12,-226.4e-6,40.52e9,7.95e3
5,C0_64,1.8,248.3e-3,-50,,23.65e-9,285.9e-6,581.1e-12,-208.5e-6,3.098e9,8.632e3
5,C0_65,1.8,310.3e-3,-50,,243e-9,280.7e-6,6.582e-9,-191e-6,273.5e6,9.426e3
5,C0_66,1.8,372.4e-3,-50,,1.608e-6,274.7e-6,53.21e-9,-173.7e-6,33.83e6,10.36e3
5,C0_67,1.8,434.5e-3,-50,,7.139e-6,267.7e-6,289e-9,-156.9e-6,6.229e6,11.47e3
5,C0_68,1.8,496.6e-3,-50,,23.49e-6,259.8e-6,1.166e-6,-140.5e-6,1.544e6,12.81e3
5,C0_69,1.8,558.6e-3,-50,,52.85e-6,250.8e-6,3.485e-6,-124.7e-6,516.5e3,14.44e3
5,C0_70,1.8,620.7e-3,-50,,86.38e-6,240.7e-6,7.808e-6,-109.4e-6,230.5e3,16.45e3
5,C0_71,1.8,682.8e-3,-50,,117.3e-6,229.4e-6,14.15e-6,-94.82e-6,127.2e3,18.98e3
5,C0_72,1.8,744.8e-3,-50,,144.2e-6,216.9e-6,22.28e-6,-80.97e-6,80.8e3,22.23e3
5,C0_73,1.8,806.9e-3,-50,,167.4e-6,203.2e-6,31.96e-6,-67.93e-6,56.32e3,26.5e3
5,C0_74,1.8,869e-3,-50,,187.4e-6,188.1e-6,42.98e-6,-55.78e-6,41.88e3,32.27e3
5,C0_75,1.8,931e-3,-50,,204.5e-6,171.7e-6,55.15e-6,-44.61e-6,32.64e3,40.35e3
